pico_time_s,node,esp_time_s,dist_cm
8521.857000,B,133.515300,6.911
8521.915000,B,133.559800,6.448
8521.968000,A,195.326560,10.976
8522.026000,B,133.693330,7.220
8522.085000,B,133.737640,7.632
8522.152000,A,195.511220,5.711
8522.261000,A,195.556732,4.836
8522.331000,B,133.916040,6.791
8522.394000,B,133.960540,7.272
8522.456000,A,195.739460,4.836
8522.514000,B,134.139190,6.809
8522.578000,A,195.921860,5.711
8522.639000,B,134.272680,5.900
8522.700000,A,196.058260,4.836
8522.758000,A,196.103900,4.836
8522.815000,A,196.195100,5.711
8522.874000,A,196.240840,5.711
8522.937000,A,196.286380,6.294
8524.279000,A,197.792516,8.644
8524.402000,A,197.841580,5.711
8524.465000,B,136.148330,9.947
8524.527000,A,197.887332,6.877
8524.594000,B,136.192700,15.812
8524.654000,B,136.282260,7.443
8524.714000,A,198.069900,5.128
8524.779000,A,198.115540,5.128
8524.838000,A,198.207180,5.128
8524.902000,A,198.252840,5.128
8524.968000,A,198.298520,8.043
8525.029000,A,198.390160,6.311
8525.093000,A,198.435980,6.311
8525.152000,B,136.778220,14.320
8525.264000,A,198.573084,5.711
8525.331000,A,198.618340,4.236
8525.394000,A,198.709616,4.528
8525.460000,B,137.048560,19.380
8525.525000,B,137.138140,7.632
8525.592000,B,137.227220,7.632
8525.654000,B,137.271760,6.071
8526.634000,A,200.151932,29.481
8526.941000,A,200.513084,10.410
8527.005000,A,200.559440,6.586
8527.074000,B,138.881700,17.510
8527.139000,A,200.605152,4.253
8527.217000,B,138.926840,17.819
8527.345000,A,200.650820,5.711
8527.413000,B,138.971760,16.310
8527.479000,B,139.016890,16.447
8527.545000,B,139.109500,19.191
8527.612000,A,200.970080,4.253
8527.681000,B,139.288520,19.482
8527.752000,A,201.063140,5.128
8527.821000,B,139.424530,19.311
8527.893000,A,201.199940,5.145
8527.960000,B,139.559560,19.294
8528.024000,A,201.336984,9.364
8528.099000,A,201.428300,5.402
8528.163000,A,201.474040,5.111
8528.579000,A,202.058460,24.456
8529.603000,A,203.135060,9.227
8529.673000,A,203.181292,6.603
8529.746000,A,203.226640,6.568
8529.815000,B,141.527480,8.043
8529.886000,A,203.272368,8.935
8529.956000,B,141.572390,8.764
8530.026000,A,203.364352,7.752
8530.132000,A,203.410180,9.793
8530.181000,B,141.794240,7.323
8530.236000,B,141.838760,8.163
8530.287000,B,141.928460,9.535
8530.339000,B,142.019720,6.843
8530.450000,B,142.064210,7.289
8530.497000,A,203.826052,7.460
8530.552000,A,203.871840,7.460
8530.601000,B,142.242110,7.563
8530.654000,B,142.331450,7.169
8530.710000,B,142.375760,7.152
8530.756000,A,204.146460,7.460
8531.651000,A,205.131280,12.417
8532.061000,A,205.626700,11.268
8532.105000,A,205.673108,7.460
8532.160000,B,143.985120,19.311
8532.218000,A,205.718880,4.853
8532.276000,B,144.030670,6.791
8532.379000,A,205.764580,4.545
8532.431000,B,144.075150,6.894
8532.486000,A,205.813108,4.545
8532.542000,A,205.858780,5.711
8532.591000,B,144.252960,7.529
8532.644000,A,206.042720,6.894
8532.698000,A,206.088352,6.860
8532.756000,A,206.134060,6.003
8532.809000,A,206.179600,5.128
8532.861000,A,206.225240,5.145
8532.919000,A,206.315920,5.145
8532.970000,B,144.697180,19.294
8533.026000,A,206.404720,6.877
8533.145000,B,144.742800,27.389
8533.199000,B,144.832670,8.043
8533.253000,B,144.877680,7.632
8533.305000,B,144.922010,7.649
8533.370000,B,145.055600,7.220
8533.417000,B,145.100340,8.884
8533.471000,A,206.865400,6.603
8533.525000,A,206.911468,10.684
8535.034000,A,208.300180,8.918
8535.089000,B,146.619820,15.349
8535.147000,A,208.346192,9.227
8535.206000,B,146.665080,10.084
8535.261000,A,208.620820,8.644
8535.365000,B,146.977760,8.472
8535.422000,B,147.022480,8.472
8535.475000,B,147.067220,8.421
8535.532000,A,208.850100,8.918
8535.586000,B,147.244280,8.832
8535.641000,A,209.036000,11.559
8535.696000,B,147.378320,14.337
8536.566000,A,210.111420,11.834
8536.623000,A,210.157600,28.966
8536.681000,B,148.496600,7.272
8536.739000,A,210.204620,6.568
8536.797000,A,210.250224,4.819
8536.861000,B,148.541300,16.704
8536.973000,B,148.586210,6.140
8537.032000,B,148.630680,5.968
8537.086000,B,148.674900,5.539
8537.137000,B,148.763980,6.003
8537.198000,B,148.854000,6.088
8537.253000,A,210.616616,5.728
8537.315000,B,148.987600,5.762
8537.372000,B,149.031830,6.380
8537.488000,A,211.021740,29.995
8538.512000,A,212.054100,6.894
8538.567000,A,212.100200,6.020
8538.626000,B,150.417240,9.192
8538.687000,A,212.145900,12.708
8538.798000,B,150.462160,8.112
8538.861000,A,212.194540,8.935
8538.920000,B,150.506730,8.095
8538.976000,A,212.285700,7.769
